"";"GeneID_final";"GeneSymbol_final";"Protein.name";"Fasta.headers";"Controle_neg_0h_1";"Controle_neg_0h_2";"Controle_neg_0h_3";"Controle_neg_24h_1";"Controle_neg_24h_2";"Lampada_2_48h_3";"Controle_neg_48h_1";"Controle_neg_48h_2";"Controle_neg_48h_3";"Lampada_1_0h_1";"Lampada_1_0h_2";"Lampada_1_0h_3";"Lampada_1_24h_1";"Lampada_1_24h_2";"Lampada_1_24h_3";"Lampada_1_48h_1";"Lampada_1_48h_2";"Lampada_1_48h_3";"Lampada_2_0h_1";"Lampada_2_0h_2";"Lampada_2_0h_3";"Lampada_2_24h_1";"Lampada_2_24h_2";"Lampada_2_24h_3";"Lampada_2_48h_1";"Lampada_2_48h_2";"Controle_neg_24h_3"
"11";"3163";"HMOX2";"Isoform of P30519, Heme oxygenase (biliverdin-producing)";"tr|A0A087WT44|A0A087WT44_HUMAN Isoform of P30519, Heme oxygenase (biliverdin-producing) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1";6927700;1042400;5407900;3804600;3199000;1605000;1473000;2161500;3466200;3895600;8978100;6156900;3760100;858730;2391600;3015400;1515400;1368700;6102800;2439100;2099900;2575400;2559400;2641600;598590;7465800;1473200
"12";"1278";"COL1A2";"Isoform of P08123, Collagen alpha-2(I) chain";"tr|A0A087WTA8|A0A087WTA8_HUMAN Isoform of P08123, Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=1";0;1521200;0;30293000;25313;0;10169000;0;3676300000;4933200000;0;33623;0;0;11512;0;28614;0;0;0;135040;0;0;0;1313600000;0;0
"13";"374291";"NDUFS7";"Isoform of O75251, NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial";"tr|A0A087WXF6|A0A087WXF6_HUMAN Isoform of O75251, NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=1";820410;444170;780510;470720;396890;169670;0;309690;390590;0;1456200;958460;0;0;661950;386080;0;0;842590;31719;543070;752970;0;791220;0;1188900;0
"14";"8570";"KHSRP";"Isoform of Q92945, Far upstream element-binding protein 2";"tr|A0A087WTP3|A0A087WTP3_HUMAN Isoform of Q92945, Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1";783880;442700;423660;365720;1069200;127550;315220;469670;397450;947940;1720200;598590;475750;0;419560;239270;346580;0;675050;181440;204630;95912;129440;0;389640;483720;0
"15";"7840";"ALMS1";"Isoform of Q8TCU4, Alstrom syndrome protein 1 (Fragment)";"tr|A0A494BZW1|A0A494BZW1_HUMAN Isoform of Q8TCU4, Alstrom syndrome protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1";0;0;784950;0;0;234270;0;0;0;0;0;0;0;0;252980;0;0;0;0;0;0;0;0;0;0;0;0
"16";"51035";"UBXN1";"Isoform of Q04323, UBX domain-containing protein 1";"tr|A0A087WTZ5|A0A087WTZ5_HUMAN Isoform of Q04323, UBX domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=1";794570;2081300;1190400;923310;1399500;430580;959460;1198100;977460;759730;1568700;849900;733370;476890;901460;521180;848890;626360;858050;658680;603840;763120;504430;612320;928430;1343900;469200
"17";"928";"CD9";"Isoform of P21926, CD9 antigen";"tr|A6NNI4|A6NNI4_HUMAN Isoform of P21926, CD9 antigen OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=1";1250000;0;1869600;1813900;4792000;213340;1113900;1615200;1418200;188140;2121500;277070;2713400;290750;420510;498370;346890;749250;1609400;570270;279180;577010;1591900;167200;240180;2706600;484180
"18";"84061";"MAGT1";"Isoform of Q9H0U3, Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1";"tr|A0A087WU53|A0A087WU53_HUMAN Isoform of Q9H0U3, Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1 OS=Homo sapiens OX=9606 GN=MAGT1 PE=1 SV=1";814790;0;1115300;757700;0;446420;433020;0;566210;0;997130;924740;817210;0;599210;648960;0;0;791260;551100;363130;0;0;613850;0;0;0
"19";"56259";"CTNNBL1";"Isoform of Q8WYA6, Beta-catenin-like protein 1";"tr|A0A087WUB9|A0A087WUB9_HUMAN Isoform of Q8WYA6, Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1";180720;53944;187930;148220;121880;29279;0;96661;0;42340;380010;119160;85517;0;64203;121610;66466;42846;67496;65364;93874;0;51179;0;0;336440;26809
"20";"9789";"SPCS2";"Isoform of Q15005, Signal peptidase complex subunit 2";"tr|E9PL01|E9PL01_HUMAN Isoform of Q15005, Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1";2011000;130120;715930;1575300;645160;432640;504270;726270;471310;484100;1448500;770830;1091100;0;371420;642250;1014600;540530;945300;723920;474170;752410;543110;548390;0;2023800;346470
"21";"58505";"OSTC";"Isoform of Q9NRP0, Oligosaccharyltransferase complex subunit OS=Homo sapiens OX=9606 GN";"tr|A0A087WUD3|A0A087WUD3_HUMAN Isoform of Q9NRP0, Oligosaccharyltransferase complex subunit OS=Homo sapiens OX=9606 GN=OSTC PE=1 SV=1";781170;0;784000;343490;274890;131650;219450;246750;435010;40745;745260;515320;458710;44570;389150;278750;221580;386750;1210600;251370;206360;266120;330780;185600;0;909180;257930
"22";"9669";"EIF5B";"Isoform of O60841, Eukaryotic translation initiation factor 5B";"tr|A0A087WUT6|A0A087WUT6_HUMAN Isoform of O60841, Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1";1778800;521710;1533500;1309300;803860;235990;406110;650840;1229300;353340;1763800;1728600;886440;705830;903840;538560;1014900;697220;1946300;874270;386730;870230;566090;555090;1012800;1523200;336010
"23";"682";"BSG";"Isoform of P35613, Basigin (Fragment)";"tr|R4GN83|R4GN83_HUMAN Isoform of P35613, Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1";1554900;131250;1795400;1097800;1974900;175910;119380;540500;1238600;1911300;4187100;967890;2133500;0;1823800;787330;112150;0;2396700;645240;477300;0;127040;0;0;0;0
"24";"6711";"SPTBN1";"Isoform of Q01082, Spectrin beta chain";"tr|A0A087WUZ3|A0A087WUZ3_HUMAN Isoform of Q01082, Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1";30367000;4716800;20297000;17890000;20921000;7023900;7920800;16853000;18762000;6016200;37373000;14890000;23342000;772780;14763000;17674000;8680300;5033400;21897000;12422000;9628400;9875100;4771100;7656000;1695900;27495000;6082400
"25";"26292";"MYCBP";"readthrough, Uncharacterized protein";"tr|A0A087WV05|A0A087WV05_HUMAN readthrough, Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1";156010;1321800;103280;83443;2047400;64600;279360;163110;132710;63761;324080;372000;0;207840;427930;102700;154970;0;114710;84463;82405;0;0;0;2123600;0;192870
"26";"55226";"NAT10";"Isoform of Q9H0A0, RNA cytidine acetyltransferase";"tr|A0A087WV29|A0A087WV29_HUMAN Isoform of Q9H0A0, RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=1";110200;0;156470;71700;0;0;0;0;44835;0;206980;515090;111990;0;49427;73089;0;0;78572;76362;49718;0;0;0;0;0;0
"27";"9538";"EI24";"Isoform of O14681, Etoposide-induced protein 2.4 homolog (Fragment)";"tr|E9PQN7|E9PQN7_HUMAN Isoform of O14681, Etoposide-induced protein 2.4 homolog (Fragment) OS=Homo sapiens OX=9606 GN=EI24 PE=1 SV=1";0;0;1152700;0;0;0;0;0;0;0;0;0;1023300;0;24733;0;0;0;0;812950;0;0;291450;0;0;1759900;0
"28";"55852";"TEX2";"Isoform of Q8IWB9, Testis-expressed protein 2";"tr|A0A087WVA8|A0A087WVA8_HUMAN Isoform of Q8IWB9, Testis-expressed protein 2 OS=Homo sapiens OX=9606 GN=TEX2 PE=1 SV=1";65015;0;81088;49555;0;0;0;0;0;0;71668;62708;0;0;0;0;0;0;0;0;0;44709;0;0;0;0;0
"29";"25902";"MTHFD1L";"Isoform of Q6UB35, Formyltetrahydrofolate synthetase";"tr|A0A087WVM4|A0A087WVM4_HUMAN Isoform of Q6UB35, Formyltetrahydrofolate synthetase OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1";438360;93601;160000;169330;157800;79140;121790;101600;125250;100280;199300;176980;160730;0;117030;140050;98088;89993;0;119160;112000;130420;130180;110670;0;209970;0
"30";"1213";"CLTC";"Isoform of Q00610, Clathrin heavy chain";"tr|A0A087WVQ6|A0A087WVQ6_HUMAN Isoform of Q00610, Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1";253660000;55230000;212010000;199530000;118030000;82510000;80057000;121030000;142770000;33636000;322230000;174810000;187070000;47630000;113490000;195280000;79062000;106240000;191920000;1,21e+08;108140000;174850000;118210000;189230000;16285000;358110000;98225000
"31";"1915";"EEF1A1";"Isoform of P68104, Elongation factor 1-alpha";"tr|A0A7I2V659|A0A7I2V659_HUMAN Isoform of P68104, Elongation factor 1-alpha OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1";471880000;207760000;612870000;360390000;309400000;180990000;162100000;288680000;405290000;119200000;700280000;521560000;367290000;1,64e+08;317630000;265780000;172090000;313670000;415900000;224530000;184150000;409270000;295420000;519850000;54377000;950540000;313440000
"32";"9333";"TGM5";"Isoform of O43548, Protein-glutamine gamma-glutamyltransferase 5";"tr|A0A087WZC4|A0A087WZC4_HUMAN Isoform of O43548, Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=1";208780;0;421900;87781;72804;144320;0;96009;54012;0;297300;195210;150510;0;179410;72407;86468;180720;91554;166060;246490;171980;122690;311010;0;323270;211230
"33";"5434";"POLR2E";"Isoform of P19388, DNA-directed RNA polymerase II subunit E";"tr|A0A087WVZ9|A0A087WVZ9_HUMAN Isoform of P19388, DNA-directed RNA polymerase II subunit E OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=1";0;67101;0;0;56993;0;33173;31066;0;34960;50119;158100;49785;0;74597;0;0;0;24757;0;0;53097;0;0;0;0;0
"34";"51100";"SH3GLB1";"Isoform of Q9Y371, Endophilin-B1";"tr|A0A087WW40|A0A087WW40_HUMAN Isoform of Q9Y371, Endophilin-B1 OS=Homo sapiens OX=9606 GN=SH3GLB1 PE=1 SV=1";577640;237470;548010;531910;970190;176530;270560;334090;467030;230860;1176400;319530;414870;91331;501520;231320;241120;178340;917090;232550;359800;294570;110690;0;174850;341960;127420
"35";"408050";"NOMO3";"Isoform of Q15155, Nodal modulator 1";"tr|A0A0G2JP90|A0A0G2JP90_HUMAN Isoform of Q15155, Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=1";645730;395220;1027100;751260;559550;486280;336390;414710;598860;167590;1727700;582700;709620;171150;358790;807300;382100;509320;1241200;645420;511890;877680;720300;763670;98208;1383500;408800
"36";"85465";"SELENOI";"Isoform of Q9C0D9, Ethanolaminephosphotransferase 1 (Fragment)";"tr|C9JAG1|C9JAG1_HUMAN Isoform of Q9C0D9, Ethanolaminephosphotransferase 1 (Fragment) OS=Homo sapiens OX=9606 GN=SELENOI PE=1 SV=1";412530;0;314980;266530;0;197900;171230;223880;208330;0;462010;311560;252660;129500;195600;268600;0;214980;237650;321270;237450;278820;178790;349190;0;327020;250540
"37";"54961";"SSH3";"Isoform of Q8TE77, Protein phosphatase Slingshot homolog 3 (Fragment)";"tr|E9PIT5|E9PIT5_HUMAN Isoform of Q8TE77, Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2";243670;111300;224090;249020;0;112190;124910;227540;198700;0;300740;168760;162270;0;108940;214500;158270;0;258750;126430;129200;196380;0;0;0;0;0
"38";"27095";"TRAPPC3";"Isoform of O43617, Trafficking protein particle complex subunit 3";"tr|A6NKE1|A6NKE1_HUMAN Isoform of O43617, Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1";0;204950;0;691120;464750;362460;251480;385990;336810;152980;0;578940;568220;108190;821730;431120;286770;0;960200;512400;595370;583710;392240;631890;0;1604700;378540
"39";"4582";"MUC1";"Isoform of P15941, Mucin-1";"tr|A0A0C4DGW3|A0A0C4DGW3_HUMAN Isoform of P15941, Mucin-1 OS=Homo sapiens OX=9606 GN=MUC1 PE=1 SV=1";5380500;3492300;1686500;3337200;2843000;781080;3232000;2881000;3482200;2063700;6370800;981310;2742700;1683400;3257600;4062900;1564700;2317600;2776800;1778200;1220900;5675700;2288500;1309900;3422700;8822700;975150
"40";"7170";"TPM3";"Isoform of P06753, Tropomyosin alpha-3 chain";"tr|A0A087WWU8|A0A087WWU8_HUMAN Isoform of P06753, Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1";40535000;85579000;39827000;33066000;82102000;16828000;38075000;52493000;45123000;57427000;65804000;39889000;40776000;16657000;43444000;22753000;26565000;8139400;39186000;18101000;24146000;19813000;13783000;28655000;97207000;55527000;13911000
"41";"84717";"HDGFL2";"Isoform of Q7Z4V5, Hepatoma-derived growth factor-related protein 2 (Fragment)";"tr|A0A087WX58|A0A087WX58_HUMAN Isoform of Q7Z4V5, Hepatoma-derived growth factor-related protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=HDGFL2 PE=1 SV=1";0;224230;0;297100;0;0;0;0;0;204130;0;0;0;0;0;0;313230;0;0;0;0;0;0;0;129400;0;0
"42";"375759";"C9orf50";"Isoform of Q5SZB4, Chromosome 9 open reading frame 50, isoform CRA_a";"tr|A0A087WX76|A0A087WX76_HUMAN Isoform of Q5SZB4, Chromosome 9 open reading frame 50, isoform CRA_a OS=Homo sapiens OX=9606 GN=C9orf50 PE=4 SV=1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79764;0;0
"43";"23786";"BCL2L13";"Isoform of Q9BXK5, Bcl-2-like protein 13";"tr|A0A087WX97|A0A087WX97_HUMAN Isoform of Q9BXK5, Bcl-2-like protein 13 OS=Homo sapiens OX=9606 GN=BCL2L13 PE=1 SV=1";6839600;0;2688000;1795200;2520500;1156300;1130500;2244500;1882900;1937800;13389000;2515100;2007200;1373300;1009300;2358000;849980;0;4137400;1751500;1362300;1479400;0;0;1588800;1426600;623680
"44";"57488";"ESYT2";"Isoform of A0FGR8, Extended synaptotagmin-2";"tr|A0A499FIX8|A0A499FIX8_HUMAN Isoform of A0FGR8, Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1";8709600;781120;5320000;4554100;0;1915000;1573200;1939600;1740200;0;14095000;6509900;5276500;0;2100600;5529200;1607200;920680;2681300;6045900;1838200;4264500;1461500;2253300;0;4662700;1439700
"45";"5563";"PRKAA2";"Isoform of Q13131, 5-AMP-activated protein kinase catalytic subunit alpha-1";"tr|Q96E92|Q96E92_HUMAN Isoform of Q13131, 5-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens OX=9606 GN=PRKAA1 PE=1 SV=1";209540;0;208270;197260;246470;0;99729;179710;310840;160500;301020;212270;223830;0;205500;179870;159440;0;257190;130100;154560;0;0;0;0;255400;0
"46";"51534";"VTA1";"Isoform of Q9NP79, Chromosome 6 open reading frame 55, isoform CRA_b";"tr|A0A087WY55|A0A087WY55_HUMAN Isoform of Q9NP79, Chromosome 6 open reading frame 55, isoform CRA_b OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1";2111700;465210;1121200;1579000;2122900;469030;558350;1034400;946140;1789000;1655200;1271200;1952900;103650;1039500;753760;430990;642560;1654700;705730;659940;1111100;477020;338770;81747;1937800;394730
"47";"1173";"AP2M1";"Isoform of Q96CW1, AP-2 complex subunit mu";"tr|A0A087WY71|A0A087WY71_HUMAN Isoform of Q96CW1, AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1";1071500;158000;1305200;577960;352640;317670;255140;314220;503390;275230;1575300;577620;793400;197450;637490;579170;375840;588530;975500;382480;455960;376750;384330;393720;0;1058200;287760
"48";"50848";"F11R";"Isoform of Q9Y624, Junctional adhesion molecule 1";"tr|A0A087WY82|A0A087WY82_HUMAN Isoform of Q9Y624, Junctional adhesion molecule 1 OS=Homo sapiens OX=9606 GN=F11R PE=1 SV=1";3429200;619540;2392800;1159400;877490;413540;552650;1817400;2353400;785030;3619800;1482100;1309700;200690;2124500;1034600;1221700;231900;1471000;1118300;1638900;665290;715420;0;0;2204600;127690
"49";"7323";"UBE2D3";"Isoform of P62837, Ubiquitin-conjugating enzyme E2 D2 (Fragment)";"tr|D6RFM0|D6RFM0_HUMAN Isoform of P62837, Ubiquitin-conjugating enzyme E2 D2 (Fragment) OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1";1156400;425450;2446400;635870;237970;504720;310860;0;233780;73431;1896700;208520;387410;389800;1018600;1015300;0;521000;378610;368940;524390;686800;453180;4458000;212380;3502800;2594400
"50";"387680";"WASHC2A";"Isoform of Q641Q2, WASH complex subunit 2A";"tr|A0A087WYF6|A0A087WYF6_HUMAN Isoform of Q641Q2, WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=1";167480;0;101910;107180;234800;0;86549;95893;104240;86871;417310;80452;138910;0;142930;91213;83071;0;96103;103460;90844;0;0;0;0;0;44086
"51";"54505";"DHX29";"Isoform of Q7Z478, ATP-dependent RNA helicase DHX29";"tr|A0A087WYN9|A0A087WYN9_HUMAN Isoform of Q7Z478, ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=1";35055;31653;44604;29515;39353;20386;27125;0;0;0;61472;59497;27963;0;0;28451;27838;27834;22774;0;35397;48472;0;0;0;51724;34913
"52";"6728";"SRP19";"Isoform of P09132, Signal recognition particle 19 kDa protein";"tr|A0A087WYR0|A0A087WYR0_HUMAN Isoform of P09132, Signal recognition particle 19 kDa protein OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1";581460;370440;449470;283480;317980;182170;193150;298250;342270;294480;1030700;659240;307610;160160;312060;216030;195480;217220;291630;214620;387420;241640;147390;229800;64972;409510;130970
"53";"7165";"TPD52L2";"Isoform of O43399, Tumor protein D54";"tr|A0A087WYR3|A0A087WYR3_HUMAN Isoform of O43399, Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=1";5698400;5980200;5170800;2385300;5715700;1540700;2842200;3254900;4703000;2655400;5959800;3213100;4023500;3209800;3067400;2235800;2733200;1388000;3814200;2021400;1880300;2488400;1198400;3043900;2497500;4965800;1457400
"54";"7105";"TSPAN6";"Isoform of O43657, Tetraspanin-6";"tr|A0A087WYV6|A0A087WYV6_HUMAN Isoform of O43657, Tetraspanin-6 OS=Homo sapiens OX=9606 GN=TSPAN6 PE=1 SV=1";0;0;0;0;0;0;0;0;0;0;13070000;0;0;0;0;0;0;4499800;0;0;0;0;0;0;0;0;0
"55";"1653";"DDX1";"Isoform of Q92499, ATP-dependent RNA helicase DDX1";"tr|A0A087WZ71|A0A087WZ71_HUMAN Isoform of Q92499, ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=1";1467000;2348100;3124600;1379100;1030800;733760;1145200;1996400;2211700;1146000;4258100;1479400;2458000;895050;1902900;1203200;982420;1386800;1142800;963530;780210;757430;1388200;880350;222810;2348500;1112300
"56";"6847";"SYCP1";"Isoform of Q15431, Synaptonemal complex protein 1 (Fragment)";"tr|Q5VXJ5|Q5VXJ5_HUMAN Isoform of Q15431, Synaptonemal complex protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=SYCP1 PE=1 SV=1";708760;2709500;356910;0;644540;426880;208350;451420;0;0;5974600;259130;0;1190100;193840;42557;485670;222520;0;229480;337600;695930;308730;4046700;873610;728310;559960
"57";"4026";"LPP";"Isoform of Q93052, Lipoma-preferred partner (Fragment)";"tr|C9JXK9|C9JXK9_HUMAN Isoform of Q93052, Lipoma-preferred partner (Fragment) OS=Homo sapiens OX=9606 GN=LPP PE=1 SV=1";553010;121120;829480;626830;606160;275690;250200;676000;864210;492190;740500;590530;628240;0;771990;393870;368320;165230;953370;295470;364550;324220;163760;259550;122030;767420;169470
"58";"8667";"EIF3H";"Isoform of O15372, Eukaryotic translation initiation factor 3 subunit H";"tr|A0A087WZK9|A0A087WZK9_HUMAN Isoform of O15372, Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1";843120;540960;897360;765120;229950;361160;251970;455390;445720;625820;1337300;1075200;906230;0;572440;419980;365570;397360;754620;427140;394790;408430;292740;317410;85180;1310700;0
"59";"3420";"IDH3B";"Isoform of O43837, Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Fragment)";"tr|A0A0D9SG66|A0A0D9SG66_HUMAN Isoform of O43837, Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=1";957700;1029900;0;958860;0;0;0;0;787730;0;2369800;747720;615780;0;0;0;595290;0;923120;721200;587730;0;0;0;0;0;0
"60";"4712";"NDUFB6";"Isoform of O95139, Complex I-B17";"tr|A0A087WZX2|A0A087WZX2_HUMAN Isoform of O95139, Complex I-B17 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 SV=1";439630;0;344110;288030;286470;196580;211940;272830;394790;0;582670;343820;419390;0;230930;304690;218410;0;880990;221000;274270;0;182060;252250;0;373740;187240
"61";"1512";"CTSH";"Isoform of P09668, Pro-cathepsin H";"tr|A0A7I2V2E4|A0A7I2V2E4_HUMAN Isoform of P09668, Pro-cathepsin H OS=Homo sapiens OX=9606 GN=CTSH PE=1 SV=1";0;486490;597670;0;0;211830;0;0;0;0;0;108790;0;123530;0;0;81156;170710;225690;148910;233120;0;383000;1278000;0;857720;483820
